Entity,Code,Year,Maximum sea ice extent,Minimum sea ice extent
Antarctica,ATA,1979,18.196,3.141
Antarctica,ATA,1980,18.817,2.818
Antarctica,ATA,1981,18.597,2.873
Antarctica,ATA,1982,18.353,3.129
Antarctica,ATA,1983,18.585,3.07
Antarctica,ATA,1984,18.171,2.677
Antarctica,ATA,1985,18.703,2.836
Antarctica,ATA,1986,17.683,3.193
Antarctica,ATA,1987,18.246,3.254
Antarctica,ATA,1988,18.307,2.886
Antarctica,ATA,1989,18.121,2.978
Antarctica,ATA,1990,18.193,3.036
Antarctica,ATA,1991,18.313,3.161
Antarctica,ATA,1992,18.147,2.837
Antarctica,ATA,1993,18.543,2.482
Antarctica,ATA,1994,18.613,3.197
Antarctica,ATA,1995,18.373,3.561
Antarctica,ATA,1996,18.632,2.985
Antarctica,ATA,1997,18.596,2.49
Antarctica,ATA,1998,18.903,2.989
Antarctica,ATA,1999,18.696,2.966
Antarctica,ATA,2000,18.888,2.907
Antarctica,ATA,2001,18.175,3.65
Antarctica,ATA,2002,17.887,2.96
Antarctica,ATA,2003,18.298,3.789
Antarctica,ATA,2004,18.919,3.584
Antarctica,ATA,2005,18.805,2.97
Antarctica,ATA,2006,19.094,2.651
Antarctica,ATA,2007,18.861,2.905
Antarctica,ATA,2008,18.145,3.895
Antarctica,ATA,2009,18.96,2.991
Antarctica,ATA,2010,18.799,3.106
Antarctica,ATA,2011,18.739,2.519
Antarctica,ATA,2012,19.208,3.553
Antarctica,ATA,2013,19.389,3.836
Antarctica,ATA,2014,19.756,3.843
Antarctica,ATA,2015,18.444,3.799
Antarctica,ATA,2016,18.15,2.79
Antarctica,ATA,2017,17.906,2.288
Antarctica,ATA,2018,17.961,2.326
Antarctica,ATA,2019,18.335,2.655
Antarctica,ATA,2020,18.838,2.92
Antarctica,ATA,2021,18.509,2.892
Antarctica,ATA,2022,18.062,2.213
Antarctica,ATA,2023,16.801,1.913
Antarctica,ATA,2024,17.058,2.142
Antarctica,ATA,2025,,2.209
Arctic Ocean,,1979,16.175,7.051
Arctic Ocean,,1980,15.955,7.667
Arctic Ocean,,1981,15.604,7.138
Arctic Ocean,,1982,15.974,7.302
Arctic Ocean,,1983,16.006,7.395
Arctic Ocean,,1984,15.299,6.805
Arctic Ocean,,1985,15.466,6.698
Arctic Ocean,,1986,15.785,7.411
Arctic Ocean,,1987,16.05,7.279
Arctic Ocean,,1988,15.583,7.369
Arctic Ocean,,1989,15.495,7.008
Arctic Ocean,,1990,15.578,6.143
Arctic Ocean,,1991,15.249,6.473
Arctic Ocean,,1992,15.462,7.474
Arctic Ocean,,1993,15.686,6.397
Arctic Ocean,,1994,15.562,7.138
Arctic Ocean,,1995,15.226,6.08
Arctic Ocean,,1996,15.155,7.583
Arctic Ocean,,1997,15.437,6.686
Arctic Ocean,,1998,15.746,6.536
Arctic Ocean,,1999,15.309,6.117
Arctic Ocean,,2000,15.141,6.246
Arctic Ocean,,2001,15.211,6.732
Arctic Ocean,,2002,15.342,5.827
Arctic Ocean,,2003,15.193,6.116
Arctic Ocean,,2004,14.914,5.984
Arctic Ocean,,2005,14.373,5.504
Arctic Ocean,,2006,14.325,5.862
Arctic Ocean,,2007,14.513,4.267
Arctic Ocean,,2008,14.953,4.687
Arctic Ocean,,2009,14.812,5.262
Arctic Ocean,,2010,14.581,4.865
Arctic Ocean,,2011,14.363,4.561
Arctic Ocean,,2012,14.553,3.566
Arctic Ocean,,2013,14.723,5.208
Arctic Ocean,,2014,14.418,5.22
Arctic Ocean,,2015,14.401,4.616
Arctic Ocean,,2016,14.203,4.528
Arctic Ocean,,2017,14.12,4.822
Arctic Ocean,,2018,13.967,4.785
Arctic Ocean,,2019,14.394,4.364
Arctic Ocean,,2020,14.642,4.001
Arctic Ocean,,2021,14.39,4.952
Arctic Ocean,,2022,14.612,4.897
Arctic Ocean,,2023,14.176,4.371
Arctic Ocean,,2024,14.607,4.379
Arctic Ocean,,2025,13.745,
